"source","gene","sample","ngl_link"
"Deng et al. 2019","5-HT1A-T2-M","BRAIN-U","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/4809960817950720"
"Deng et al. 2019","5-HT1B-T1","BRAIN-M","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6326770730008576"
"Deng et al. 2019","5-HT2B-T4","BRAIN-M","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5749044746911744"
"Deng et al. 2019","5-HT7-Gal4-T10","BRAIN-U","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/4919395846455296"
"Deng et al. 2019","AstA","BRAIN-U","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6143744993656832"
"Deng et al. 2019","AstA- T2 5137 female2","BRAIN-U","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6037133973258240"
"Deng et al. 2019","AstA-T2","BRAIN-M","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5301708467994624"
"Deng et al. 2019","AstA-T2 5137 female2","BRAIN-U","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6045295753297920"
"Deng et al. 2019","AstC-T9","BRAIN-M","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5844164129325056"
"Deng et al. 2019","AstC-T9","VNC-M","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5614069225619456"
"Deng et al. 2019","CCAP-R","BRAIN-M","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5186094793490432"
"Deng et al. 2019","CCAP-R5","BRAIN-M","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6311994700333056"
